Rank;Name;TotalNetWorth;LastChange;YTDChange;Country;Industry;Address;City;ZipCode;State;Social security number;UniqueID
17;Gautam Adani;$62.8B;+$210M;+$29.0B ;India;Industrial;8th Floor, Room No 81, Maker Chambers, Nariman Point;Mumbai;400021; Maharashtra;2005716311940;y7638552m
18;Jim Walton;$62.0B;-$508M;-$479M ;United States;Retail;2809 Selah Way;Burlington;5401;Illinois;1982138147441;p1570706p
19;Rob Walton;$61.5B;-$496M;-$1.11B ;United States;Retail;4872 Tori Lane;Salt Lake City;84116;Virginia;1950773854403;x6590264m
20;Alice Walton;$60.1B;-$489M;-$2.25B ;United States;Retail;2827 Hickory Ridge Drive;Rixeyville;22737;Washington DC;1990665363912;b5780028b
21;Ma Huateng;$58.4B;-$985M;+$1.94B ;China;Technology;Qi Jia Wan 88hao Nan Jing Fu Hai Zhuang Shi Gong Si;Nanjing - Baixia District;; Jiangsu;1948616071781;l6915194u
22;MacKenzie Scott;$57.0B;+$582M;-$1.49B ;United States;Technology;3376 Joyce Street;Fowl River;36523;Texas;1988513485086;r3742293n
23;Carlos Slim;$56.5B;-$348M;+$158M ;Mexico;Diversified;HEROES DE LA INDEPENDENCIA NO. 1104 C, KILLIAN, 37260;Guanajuato;37260;León;2000503542191;f2860876m
24;Francois Pinault;$53.7B;-$697M;+$5.93B ;France;Consumer;75 place Maurice-Charretier;Champs-sur-marne;77420;Île-de-France;1975850346322;f9143457d
25;Phil Knight & Family;$53.3B;+$123M;-$622M ;United States;Consumer;606 Platinum Drive;New Stanton;15672;New York;1982348458861;w8432332g
26;Michael Dell;$50.4B;-$849M;+$10.2B ;United States;Technology;2142 Trouser Leg Road;Springfield;1109;Massachusetts;1992929552765;r5717371n
27;Jack Ma;$49.6B;+$208M;-$945M ;China;Technology;17hao Lou 1801shi;City Area - Chaoyang District;; Beijing;2000621445215;e9735461j
28;Jacqueline Badger Mars;$44.8B;-$234M;+$3.00B ;United States;Food & Beverage;523 Driftwood Road;San Jose;95129;Texas;1979483547050;w9245049t
29;John Mars;$44.8B;-$234M;+$3.00B ;United States;Food & Beverage;4485 Asylum Avenue;Birmingham;35203;Texas;1950520768842;w4049445l
30;Zhang Yiming;$44.5B;$0;+$19.5B ;China;Technology;Chao Yang Lu 65hao Xiang Zhou Yi Yuan Er Lou Hu Li Shi;Zhuhaishi;; Guangdong;1953576755549;i9185290r
31;Colin Huang;$44.3B;+$1.49B;-$18.3B ;China;Technology;Xin Ji Jia Yuan 9hao Lou 2men 406;City Area - Chaoyang District;; Beijing;2000172843332;d5880048q
32;Alain Wertheimer;$43.8B;-$649M;+$4.35B ;France;Consumer;14 rue des Soeurs;La Garde;83130;Provence-Alpes-Côte d'Azur;2000994001081;c9973793p
33;Gerard Wertheimer;$43.8B;-$649M;+$4.35B ;France;Consumer;70 Rue du Limas;Beaune;21200;Bourgogne;1985032401754;v6032003y
34;Tadashi Yanai;$40.8B;-$165M;-$4.42B ;Japan;Retail;478-1167, Shibasakicho;Tachikawa-shi;;Tokyo;1987047402500;g1692078x
35;Len Blavatnik;$39.8B;-$471M;+$1.65B ;United States;Diversified;177 Farland Street;Chicago;60620;Texas;1999584576214;o1099181n
36;Giovanni Ferrero & Family;$35.1B;+$319M;+$1.01B ;Italy;Food & Beverage;Via Piccinni 39;Bonea;82013;Benevento;1985949302046;l1705148o
37;Miriam Adelson;$33.9B;-$535M;+$33.9B ;United States;Entertainment;2493 Mahlon Street;Jersey City;7305;Ohio;2008562224103;n6023789g
38;Klaus-Michael Kuehne;$33.8B;-$466M;+$9.69B ;Germany;Industrial;Güntzelstrasse 97;Piesport;54498;Rhineland-Palatinate;1957285953642;y4257948w
39;Masayoshi Son;$33.8B;-$2.30B;+$5.98B ;Japan;Technology; 210-1051, Shinwa;Misato-shi;; Saitama;2000030101116;i1901382z
40;William Ding;$33.7B;+$264M;+$3.26B ;China;Technology;Jiang Ning Lu 1158hao You Li Guo Ji Da Xia 703b;City Area - Putuo District;; Shanghai;1949936761212;o4841947h
41;Vladimir Potanin;$33.6B;+$202M;+$3.60B ;Russia;Commodities;Eremenko Marshala Ul., bld. 32, appt. 5;Smolensk;;Smolenskaya oblast;1973339888326;w1419283u
42;Li Ka-shing;$32.9B;-$219M;+$1.78B ;Hong Kong;Real-Estate;Wing Ming Ind Centre;Cheung Sha Wan;;Hong Kong;1958442807171;y5203253p
43;Zeng Yuqun;$32.8B;-$208M;+$1.84B ;Hong Kong;Industrial;Kingpower Coml Bldg;Wan Chai;;Hong Kong;1945286892372;t7646182i
44;Yang Huiyan;$31.9B;-$1.15B;+$1.91B ;China;Real-Estate;Gui Cheng Li Jing Hua Yuan Si Zuo 502;Fushan - Nanhai District;; Guangdong;2005128292307;u6067765c
45;Azim Premji;$31.4B;-$347M;+$6.01B ;India;Technology;62, Golden Plaza, Avenue Road, Avenue Road;Bangalore;560002; Karnataka;1961722364840;d2522400x
46;He Xiangjian;$31.3B;+$35.6M;-$5.48B ;China;Consumer;Gan Lu Yuan Zhong Li 9hao Lou 1men 502;City Area - Chaoyang District;; Beijing;1973309051319;z1922612y
47;Gina Rinehart;$31.2B;-$8.31M;+$2.52B ;Australia;Commodities;45 Learmouth Street;DORODONG;3799;Victoria;1974057571827;o8226532v
48;Leonard Lauder;$30.6B;-$337M;+$2.77B ;United States;Consumer;4724 Mcwhorter Road;Jackson;39201;New Jersey;2001655040566;c2358234p
49;Dan Gilbert;$30.4B;-$774M;-$2.86B ;United States;Real-Estate;901 Cherry Ridge Drive;Rochester;14620;New Jersey;1997736007039;j5009775r
50;Qin Yinglin;$29.8B;-$8.44M;+$7.03B ;China;Food & Beverage;Dong 11hao Lou Xi 705shi;City Area - Haidian District;; Beijing;1995959388880;x9509890h
51;James Dyson;$29.5B;-$302M;+$5.62B ;United Kingdom;Consumer;57 Ermin Street;Wyke;SP8 1BJ;Washington;1958334689871;n8745138x
52;Vladimir Lisin;$29.2B;+$59.5M;+$5.33B ;Russia;Industrial;Stachki, bld. 197, appt. 70;Rostov-na-donu;;Rostovskaya oblast;1978346828573;q2345542s
53;Jim Ratcliffe;$29.1B;+$76.0M;+$1.89B ;United Kingdom;Industrial;15 Southern Way;North Oakley; RG26 6FY;Missouri;1984646018537;i7813448i
54;Alexey Mordashov;$28.9B;-$241M;+$5.88B ;Russia;Industrial;Vologodskaya, bld. 64, appt. 108;Ufa;;Respublika Bashkortostan;1998092190645;n2930201a
55;Leonid Mikhelson;$28.2B;-$44.2M;+$3.43B ;Russia;Energy;Novosibirskaya, bld. 41, appt. 57;Voronezh;;Voronezhskaya oblast;1948410700492;u6453292y
56;Takemitsu Takizaki;$27.9B;-$626M;-$4.46B ;Japan;Technology; 287-1167, Minamicho;Nishitokyo-shi;; Tokyo;1974482765992;l9240234t
57;Stephen Schwarzman;$27.5B;-$229M;+$5.94B ;United States;Finance;689 Blane Street;Saint Louis;63146;Missouri;1969697349643;s5197741p
58;Pallonji Mistry;$27.4B;-$72.4M;+$2.89B ;Ireland;Industrial;1A Donegall Sq. East;Belfast;;County Antrim;1964601094443;s7748389i
59;Pang Kang;$27.1B;+$1.33B;-$4.83B ;China;Food & Beverage;Yin Que Shan Lu 70hao Yao Cai Zhan Jia Shu Yuan;Linyi - Lanshan District;;  Shandong;1977989557996;b1739257v
60;Leonardo Del Vecchio;$27.0B;-$377M;+$2.27B ;Italy;Consumer; Via Nazionale 56; Untereggen;39050; Bolzano;1996284201015;y4626744g
61;Dieter Schwarz;$26.9B;-$16.7M;+$588M ;Germany;Retail;Waldowstr. 34;Dietramszell;83623;Free State of Bavaria;1994236682518;d8209729m
62;Abigail Johnson;$26.5B;-$706M;+$2.51B ;United States;Finance;431 Rhode Island Avenue;Washington;20011;Indiana;1955994611531;r7123951b
63;Jiang Rensheng;$26.0B;-$668M;+$7.70B ;China;Health Care;Bei Er Qi Lu 110hao;Zhengzhou - Jinshui District;;  Henan;1988592966770;i7186929o
64;Iris Fontbona & Family;$25.7B;-$107M;+$5.45B ;Chile;Commodities;Avenida Los Libertadores, 735;Las Condes;;El Monte;1980370721462;p1925747u
65;Jorge Paulo Lemann';$25.6B;-$395M;+$1.75B ;Brazil;Food & Beverage;Rua 12 1613;Luziânia;83301-057;Goiás;1949192111225;n4666598u
66;Susanne Klatten;$25.5B;-$223M;+$2.57B ;Germany;Industrial;Gotzkowskystraße 77;Moers;47445;North Rhine-Westphalia;1947354604292;u1538781x
67;Zhang Zhidong;$25.1B;-$451M;+$833M ;China;Technology;Xin Jie Kou Nan Da Jie 44hao;City Area - Xicheng District;;  Beijing;1978787534242;e6017194k
68;James Simons;$25.1B;-$100M;+$2.28B ;United States;Finance;3602 Laurel Lee;Minneapolis;55415;South Carolina;2006213119993;l1282031m
69;Stefan Persson;$24.6B;-$536M;+$3.43B ;Sweden;Retail;Mållångsbo 9;Alstersbruk;940 26;;2001968588519;r6592457k
70;Andrew Forrest;$24.5B;-$635M;+$2.14B ;Australia;Commodities;37 Cherry Grove;TEMMA;7330;Tasmania;1990766796008;d6498012d
71;Li Xiting;$24.2B;+$340M;+$919M ;Singapore;Health Care;496C Tampines St 43 #06-255;Singapore;526496;;2006421607042;r7585964q
72;Lei Jun;$24.0B;-$527M;-$7.30B ;China;Technology;Lang Mao Shan Lu Yun Qu Shan Zhuang 3-3-601;Jinan - Shizhong District;;  Shandong;1981992315524;n2956318a
73;Lee Shau Kee;$23.7B;-$420M;+$2.58B ;Hong Kong;Real-Estate;Room 1108 11 / F Manchester Tower 46 Pak Tin Par Street . N. T.;Tsuen Wan District;;Hong Kong;1960017893230;a2770914q
74;Eric Schmidt;$23.6B;-$251M;+$4.14B ;United States;Technology;2502 Bryan Street;Lexington;27292;Alabama;1973692722740;l5108547q
75;Shiv Nadar;$23.2B;-$102M;-$904M ;India;Technology;227, 1st Floor, Fountain Plaza, Pantheon Road, Egmore;Chennai;600008; Tamil Nadu;1961528888622;r4738850p
76;Henry Cheng;$23.1B;-$320M;+$2.79B ;Hong Kong;Retail;King's Road;Eastern District;;Hong Kong;2000250696242;s9335620e
77;Ken Griffin;$22.6B;-$150M;+$1.40B ;United States;Finance;1163 Poling Farm Road;Elkhorn;68022;Hawaii;1989259536508;j7193142k
78;Carl Icahn;$22.5B;-$158M;+$2.31B ;United States;Diversified;3824 Trainer Avenue;Bloomington;61701;North Carolina;1940753271079;v6149441r
79;Elaine Marshall;$22.1B;-$174M;+$2.58B ;United States;Industrial;609 Meadowview Drive;Harrisonburg;22801;South Carolina;1983597214134;j7473796y
80;Laurene Powell Jobs;$21.9B;-$189M;+$616M ;United States;Media & Telecom;2155 Rhode Island Avenue;Washington;20005;Kansas;1986671840593;v2426079s
81;John Menard;$21.7B;-$648M;+$3.30B ;United States;Retail;3581 Hill Haven Drive;Marlin;76661;Florida;1958267245494;c1519387p
82;Goh Cheng Liang;$21.7B;-$974M;-$5.87B ;Singapore;Industrial; 52 International Road 03-02;Singapore;619626;;1968485600829;p5275601u
83;Thomas Peterffy;$21.5B;-$232M;+$1.95B ;United States;Finance;996 Duncan Avenue;Whitestone;11357;Pennsylvania;1943537487308;s2725826r
84;Stefan Quandt;$21.4B;-$227M;+$2.60B ;Germany;Industrial;Borstelmannsweg 62;Michelau;97513;Free State of Bavaria;1968308275054;r6610323c
85;Sara Mota de Larrea & Family;$21.1B;$21.1B;+$65.5M;Mexico;Commodities;ESCOBEDO 61 PTE NO. S/N, CULIACAN CENTRO, 80000; Sinaloa;80000; Culiacán;1972885311901;j3470064q
86;Alisher Usmanov;$20.9B;+$160M;-$192M ;Russia;Diversified;Krupskoy Ul., bld. 13, appt. 180;Bratsk;;Irkutskaya oblast;1968747624156;d4412047n
87;Lakshmi Mittal;$20.9B;-$252M;+$4.48B ;India;Retail;A/4 Sarvodaya Nagar, Panrapole Road, Cp Tank, Girgaum;Mumbai;400004; Maharashtra;1990891196425;x4697801k
88;Robert Kuok;$20.8B;-$178M;+$3.37B ;Malaysia;Diversified;2 Jln 11/118B Desa Tun Razak;Kuala Lumpur;56000;Wilayah Persekutuan;1960616612001;f1607977y
89;Lukas Walton;$20.5B;-$175M;-$2.05B ;United States;Retail;4922 Lynn Street;Boston;2110;Maryland;1961542207528;x1829553m
90;Ernesto Bertarelli & Family;$20.3B;-$175M;+$288M ;Switzerland;Diversified;Damunt 7;Oberlunkhofen;8917;;1972133498593;u3558092t
91;Hui Ka Yan;$20.3B;-$426M;-$2.98B ;China;Real-Estate;（ Zhi Yi Yuan ）;Zhengzhoushi;;  Henan;1996260429117;c8579143n
92;Peter Woo;$20.0B;-$410M;+$2.00B ;Hong Kong;Real-Estate;8/F Peninsular Tower 538 Castle Peak Road Cheung Sha Wan Kowloon;Sham Shui Po District;;Hong Kong;1983826597126;j3004575p
93;Donald Newhouse;$20.0B;-$222M;+$1.53B ;United States;Media & Telecom;1531 Emma Street;Lubbock;79410;Wisconsin;1980029906958;s3454421t
94;Chen Bang;$20.0B;+$583M;-$517M ;China;Health Care;Yan Jiang Zhong Lu 195hao Yan Jiang Da Xia 3lou;Guangzhou - Yuexiu District;;  Guangdong;1944747071892;p7121981e
95;Xu Hang;$20.0B;+$280M;+$757M ;Hong Kong;Health Care;Leader Ind Centre;Sha Tin;;Hong Kong;2009128940933;s9281533u
96;Vagit Alekperov;$20.0B;-$286M;+$2.71B ;Russia;Energy;Novosibirskaya, bld. 50, appt. 53;Tyumen;;Tyumenskaya oblast;1975076064574;q5475201n
97;Lui Che-Woo;$19.6B;-$467M;+$1.20B ;Hong Kong;Entertainment;Wu Sang Hse;Mong Kok;;Hong Kong;1987778904960;j6536211p
98;Roman Abramovich;$19.2B;-$132M;+$778M ;Russia;Diversified;Lenina, bld. 122/2, appt. 91;Magnitogorsk;;CHelyabinskaya oblast;1960054879293;q4235943r
99;Thomas Frist;$19.1B;-$383M;+$3.28B ;United States;Health Care;4288 Echo Lane;Nacogdoches;75964;New Mexico;1962872533302;m9861192w
100;Gennady Timchenko;$18.6B;-$45.6M;+$1.97B;Russia;Diversified;Koroleva, bld. 16, appt. 14;Rostov-na-donu;;Rostovskaya oblast;1962779321158;q9724280o
101;Wang Xing;$18.4B;-$1.03B;-$3.41B ;China;Technology;Qian Jin Yi Lu Yu Jing Tai San Dong Wu Dan Yuan 910;Shenchou;;  Guangdong;1998028146211;b3759087h
102;Dietrich Mateschitz;$18.4B;-$80.3M;+$228M ;Austria;Food & Beverage;Untere Neugasse 71;Lechnerschaft;9872;Carinthia;1972780058629;o9517186y
103;Wang Wei;$18.3B;+$61.8M;-$6.83B ;China;Services;Wen Hua Jie Yin Ji Hua Yuan 9-1-102;Yinchuanshi;;  Ningxia Hui Autonomous Region;1947296084025;h5248853u
104;Dustin Moskovitz;$18.2B;-$8.67M;+$1.48B ;United States;Technology;116 Burwell Heights Road;Vidor;77662;Kentucky;2003963334257;h9893738i
105;Lee Man Tat;$17.6B;+$154M;-$854M ;Hong Kong;Food & Beverage;Toi Shan Centre Wan Chai;Wan Chai District;;Hong Kong;1947951874746;j4330091h
106;Charlene de Carvalho-Heineken;$17.3B;-$282M;+$1.25B ;Netherlands;Food & Beverage;Kuilenstraat 38;Meerssen;6231 AW;Limburg;1991243576773;k1082807f
107;Andrey Melnichenko;$17.2B;-$52.3M;-$916M ;Russia;Industrial;Dundicha Oleko Ul., bld. 35/31, appt. 161;Sankt-peterburg;;Leningradskaya oblast;1975373419671;r2084991h
108;Viktor Vekselberg;$17.1B;-$123M;+$1.01B ;Russia;Industrial;CHelyuskintsev Ul., bld. 17, appt. 78;Novosibirsk;;Novosibirskaya oblast;1956622771271;d5696951x
109;Ray Dalio;$17.0B;$0;+$1.52B ;United States;Finance;2295 Cedarstone Drive;Toledo;43604;Texas;1985350614235;h4210474x
110;Reinhold Wuerth;$16.9B;-$359M;+$595M ;Germany;Industrial;Gruenauer Strasse 48;Schwarzenbek;21486;Schleswig-Holstein;2005109964218;s3212462c
111;Thomas Struengmann;$16.9B;-$300M;+$6.71B ;Germany;Health Care;Schmarjestrasse 61;garbage rose;15296;Brandenburg;2001605344630;c7837798g
112;Andreas Struengmann;$16.9B;-$275M;+$6.73B ;Germany;Health Care;Lietzenburger Strasse 24;Cheeky;50226;North Rhine-Westphalia;1944638282032;x6984612g
113;Alwaleed Bin Talal;$16.7B;+$57.9M;+$484M ;Saudi Arabia;Diversified;Hofuf;Al Hasa;;Al Hasa;1942685864544;q1956627a
114;Eduardo Saverin;$16.6B;+$29.9M;+$1.81B ;Brazil;Technology;Rua Expedicionário Carlos Alberto F. Bahr 1809;Piraquara;65631-700;Paraná;1985485717451;d9630254n
115;Wu Yajun;$16.6B;-$407M;+$442M ;China;Real-Estate;Dong Ju Zi 1hao Jun Shi Jiao Tong Xue Yuan Ke Yan Bu Bian Ji Bu;City Area;;Tianjin;1952784205653;b5037655x
116;Zhong Huijuan;$16.6B;-$987M;-$3.23B ;China;Health Care;Bei Yuan Hong Jun Ying Nan Lu Lv Se Jia Yuan Mei Ti Cun Tian Chang Yuan 7hao Lou 806;City Area - Chaoyang District;;  Beijing;1979973335642;o5400300m
117;Sun Piaoyang;$16.5B;+$596M;-$4.77B ;China;Health Care;Zhu Yuan Lu Wan Feng Jia Yuan 9chuang 106shi;Suzhou - Wuzhong District;;Jiangsu;2009120134209;x1879155o
118;Gustaf Douglas & Family;$16.5B;-$359M;+$3.02B ;Sweden;Diversified; Eggelstad 23; Bureå; 930 15;;1984904137639;y1759141d
119;Aliko Dangote;$16.4B;+$113M;-$1.39B ;Nigeria;Industrial;Akin-Delu Street, Ikate, Surulere;Lagos;;Lagos;1978150034556;k1512973h
120;Richard Liu;$16.4B;+$316M;-$3.30B ;China;Technology;Xi Nan Lu Lv Zhou Yuan 65-5hao Gong Jian Sang Di Mi Feng;Dalian - Ganjingzi District;;Liaoning;1941750642664;x8232141r
121;Li Shu Fu;$16.4B;-$473M;-$5.78B ;China;Industrial;Hai Jiang Lu 667long 6hao 101shi;City Area - Baoshan District;;Shanghai;1979525421102;g1721316j
122;Cyrus Poonawalla;$16.2B;-$45.0M;-$25.5M ;India;Health Care;81gbzrblr-4, Basavangaudi;Bangalore;560004; Karnataka;2008155766709;p6128179u
123;Budi Hartono;$16.2B;+$111M;-$1.15B ;Indonesia;Diversified;Jl Kom L Yos Sudarso 333 RT 04/07;Dki Jakarta;14320;Jakarta;1969910421480;r1297172r
124;Hasso Plattner;$16.0B;-$252M;+$771M ;Germany;Technology;Eschenweg 38;Apolda;99501;Free State of Thuringia;1969015188966;w1693811b
125;Wang Wenyin;$15.9B;-$456M;+$6.04B ;China;Commodities;4hao Lou 2duan Dan Yuan 5men;City Area;;Beijing;2001720539996;b1361287i
126;Ernie Garcia;$15.9B;-$243M;+$418M ;United States;Consumer;3915 Beechwood Avenue;Piscataway;8854;Wyoming;1977788288783;k4291029m
127;Ned Johnson III;$15.7B;-$393M;+$1.98B ;United States;Finance;3225 Sweetwood Drive;Elwood;8217;Idaho;1959775098402;i1997485h
128;Charoen Sirivadhanabhakdi;$15.7B;-$177M;-$23.7M ;Thailand;Food & Beverage;2506 Moo 2 Ladprao Road Klongchan;Bangkok;10240;Bangkok;1954730956618;b4742732i
129;Donald Bren;$15.7B;$0;+$930M ;United States;Real-Estate;2384 Briarwood Road;Springfield;65806;Oklahoma;1977933674992;v7962706a
130;Ricardo Salinas;$15.5B;-$52.8M;+$2.57B ;Mexico;Diversified;AVE TECNOLOGICO NO. 2212 NO. C, EL MARQUIZ, 32536; Chihuahua;32536; Ciudad Juarez;1978613138575;m3087642y
131;Patrick Soon-Shiong;$15.5B;-$355M;+$4.89B ;United States;Health Care;3566 Fowler Avenue;Williamsport;47993;Tennessee;2001521725741;e6286171k
132;Philip Anschutz;$15.4B;-$105M;+$1.64B ;United States;Diversified;3277 Java Lane;Rion;29132;California;2008215106999;k2500942w
133;Radhakishan Damani;$15.4B;+$8.99M;+$481M ;India;Retail;3-69, Balanagar;Hyderabad;500042; Andhra Pradesh;1987057672679;y4031072b
134;Michael Hartono;$15.2B;+$105M;-$1.12B ;Indonesia;Diversified;Jl Erlangga II 12;Dki Jakarta;12110;Jakarta;1981783473277;q7729878p
135;Ma Jianrong;$15.0B;-$357M;+$1.87B ;China;Consumer;Hui Zhou Shi Jin Shan Dao Shan Shui Hua Fu A3-222;Huizhou - Huicheng District;;Guangdong;1992241793005;n9758156t
136;Jorge Moll & Family;$15.0B;-$179M;+$608M ;Brazil;Health Care;Rua Oito 639;Timon;14164-030;Maranhão;1965641601591;z7162553v
137;Charles Ergen;$14.8B;-$100M;+$4.15B ;United States;Media & Telecom;2 Marcus Street;Huntsville;35802;Wisconsin;1982506083342;l8590454l
138;Dave Duffield;$14.7B;+$202M;+$41.5M ;United States;Technology;3134 Horner Street;Honolulu;96822;Colorado;1982772702899;v5606977a
139;Eric Yuan;$14.7B;+$556M;-$1.72B ;United States;Technology;1422 Twin Willow Lane;Fayetteville;28301;Florida;1955183379049;e2872233o
140;Uday Kotak;$14.6B;-$359M;-$1.75B ;India;Finance;16, Dr Dvg Road, Basavanagudi;Bangalore;560004; Karnataka;2005337780395;v7921340o
141;David Tepper;$14.4B;-$25.0M;+$1.61B ;United States;Finance;3569 Kessla Way;Florence;29501;Michigan;1994423496637;s5852658o
142;Karl Albrecht Jr.;$14.3B;+$11.7M;+$306M ;Germany;Retail;Lange Strasse 32;Oberschleissheim;85759;Free State of Bavaria;1992129235489;l1511559f
143;Beate Heister;$14.3B;+$11.7M;+$306M ;Germany;Retail;Sonnenallee 33;Augsburg;86161;Free State of Bavaria;2008807205041;q9394318y
144;Zuo Hui;$14.2B;+$428M;-$3.92B ;China;Real-Estate;Xue Fu Ya Yuan;Dazhou - Tongchuan District;;Sichuan;1947095792476;r7350969c
145;Jim Goodnight;$14.2B;-$275M;+$1.11B ;United States;Technology;4693 Charter Street;Linwood;66052;Oregon;1966607115317;m4007748m
146;Patrick Drahi;$14.2B;-$27.1M;-$95.8M ;France;Media & Telecom;2 rue Gustave Eiffel;RezÉ;44400;Pays de la Loire;1944647693863;w2101806y
147;Su Hua;$14.1B;-$789M;+$6.92B ;China;Technology;Jian Jiang Zhong Lu 32hao ， Qian Nan Zhou Zhong Yi Yuan Gu Er Ke;Qiannanbuyizumiaozuautonomous prefecture;;Guizhou;1971484003978;r2977091o
148;Huang Shilin;$14.1B;-$88.0M;+$779M ;China;Industrial;Qi Li Gang Zhen Jia Ri Da Jiu Dian Xi Ce Dong Fang Qi Che Xiu Li Chang;Wenzhou - Leqingshi;;Zhejiang;1964619965026;p6059425c
149;Scott Farquhar;$13.8B;+$511M;-$534M ;Australia;Technology;52 Rose Street;MILLGROVE;3799;Victoria;1960642176798;l9206748t
150;Mike Cannon-Brookes;$13.8B;+$511M;-$534M ;Australia;Technology;70 Jacabina Court;LAKE HEIGHTS;2502;New South Wales;2001300466468;n9574946x
151;Mikhail Fridman;$13.8B;-$159M;-$628M ;Russia;Diversified;91 Kvartal, bld. 3, appt. 53;Angarsk;;Irkutskaya oblast;1995932913094;s9477823m
152;Robin Li;$13.7B;+$439M;-$1.94B ;China;Technology;Jiang Jia Yuan 120xiang 8hao 3dan Yuan 103;Nanjingshi;;Jiangsu;1941908021076;a4328659q
153;Chen Zhiping;$13.6B;-$122M;-$2.05B ;China;Consumer;Zhang Qiao Lu 301hao Zhang Qiao Lu Xiao Xue;City Area - Hongkou District;;Shanghai;1973870543086;o9947669w
154;Mikhail Prokhorov;$13.6B;-$27.6M;+$780M ;Russia;Diversified;Krasninskaya 2 Ul., bld. 9/А, appt. 3;Smolensk;;Smolenskaya oblast;1942832048424;j5195050e
155;Jensen Huang;$13.5B;+$36.5M;+$1.19B ;United States;Technology;3256 Poplar Lane;Miramar;33025;Ohio;1963174369835;y6096291y
156;Fan Hongwei;$13.4B;-$667M;+$902M ;China;Energy;Liao Ning Sheng Da Lian Wa Fang Dian Shi Xi Huan Jie Xi Shan Yuan 252hao Run Ze Shan Zhuang Nan Ce;Dalian - Wafangdianshi;;Liaoning;1987205058696;z4011669b
157;Jim Davis;$13.3B;+$328M;-$428M ;United States;Consumer;3632 Linda Street;Philadelphia;19108;Michigan;1982794445243;w7302785j
158;Joseph Tsai;$13.2B;+$72.8M;+$603M ;Canada;Technology;944 Halsey Avenue;Toronto;M3B 2W6;Ontario;2001599202276;k1569035s
159;Hugh Grosvenor;$13.2B;$0;+$525M ;United Kingdom;Real-Estate;20 Haslemere Roa;Eastriggs; DG12 8RT;New York;1997848453765;n1758607x
160;Alejandro Santo Domingo & Family;$13.0B;-$178M;+$521M ;Colombia;Food & Beverage;Cra.39 No.47-36, Ap.201;Antioquia;;Antioquia;1977137980560;y4741328h
161;Cen Junda;$12.9B;+$157M;-$4.01B ;China;Health Care;Wen Zhou Shang Mao Cheng;Huanggang - Huangzhou District;;Hubei;1947714719591;s8285881k
162;Jan Koum;$12.9B;-$75.0M;+$850M ;United States;Technology;69 Adams Avenue;Frederick;21701;Pennsylvania;1980028202562;k1028800b
